question_id,database,is_correct,difficulty,generated_query,feedback,execution_time,ground_truth_results,generated_results
549,codebase_community,False,simple,"-- List all tables in the database
sql_db_list_tables ''

-- Query the schema of the table containing posts
sql_db_schema 'posts'

-- Construct a SQL query to fetch the body of the post with the ""bayesian"" tag
SELECT body FROM posts WHERE tag = 'bayesian';",Invalid query generated,,,
1386,student_club,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
938,formula_1,False,moderate,"SELECT Champion, wiki_url
    FROM Formula1_Race
    WHERE Year = 2008 AND RaceName = 'Australian Grand Prix';

    -- First, check the tables in the database:
    sql_db_list_tables ''

    -- Then, get the schema of the relevant table:
    sql_db_schema 'Formula1_Race'",Invalid query generated,,,
1357,student_club,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
477,card_games,False,challenging,"# First, let's check the list of tables in the database:
sql_db_list_tables """"

# If the table 'magicsetartist' exists, we can proceed to query its schema:
sql_db_schema ""magicsetartist""

# Now that we have the schema information, let's construct an SQL query to find the artists who have designed a card in the set Coldsnap:
SELECT artist FROM magicsetartist WHERE set = 'Coldsnap';","Error executing query: unrecognized token: ""#""",,,
713,codebase_community,False,simple,"sql_db_list_tables("""")","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1458,student_club,False,moderate,"WITH member_counts AS (
    SELECT COUNT(*) as member_count, state
    FROM members
    GROUP BY state
),
percentage_nj AS (
    SELECT (member_count / (SELECT SUM(member_count) FROM member_counts)) * 100 as percentage_nj
    FROM member_counts
    WHERE state = 'New Jersey'
),
percentage_vt AS (
    SELECT (member_count / (SELECT SUM(member_count) FROM member_counts)) * 100 as percentage_vt
    FROM member_counts
    WHERE state = 'Vermont'
),
difference AS (
    SELECT percentage_nj - percentage_vt as difference
    FROM percentage_nj, percentage_vt
)
SELECT difference
FROM difference;",Error executing query: no such table: members,,,
784,superhero,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
342,card_games,False,simple,"sql_db_list_tables

    (Assuming table_names contains 'cards')

    sql_db_schema 'cards'

    (Assuming columns are 'name', 'mana_cost')

    SELECT name FROM cards WHERE mana_cost > (SELECT MAX(mana_cost) FROM cards);","Error executing query: near ""sql_db_list_tables"": syntax error",,,
204,toxicology,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
458,card_games,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
615,codebase_community,False,moderate,"WITH organizer_users AS (
    SELECT user_id FROM Users WHERE badge = 'Organizer'
),
teenager_users AS (
    SELECT user_id FROM Users WHERE age BETWEEN 13 AND 19
)
SELECT
    ROUND(COUNT(user_id) * 100.0 / (SELECT COUNT(user_id) FROM organizer_users), 2) AS percentage
FROM teenager_users
WHERE user_id IN (SELECT user_id FROM organizer_users);",Error executing query: no such column: user_id,,,
295,toxicology,False,simple,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,6.350001785904169e-05,"[(1569,)]","[('atom',), ('bond',), ('connected',), ('molecule',)]"
414,card_games,False,simple,"sql_db_list_tables();
    sql_db_schema('tables');

    -- Assuming 'cards' table contains the information about the cards and 'language' column indicates the language of the card.
    SELECT language FROM cards WHERE set = 'Ravnica';",Invalid query generated,,,
1236,thrombosis_prediction,False,challenging,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
935,formula_1,False,simple,"sql_db_list_tables
    sql_db_schema 'race, driver'
    SELECT COUNT(*) FROM driver
    INNER JOIN result ON driver.id = result.driver_id
    WHERE race_id = (SELECT id FROM race WHERE year = 2008 AND circuit = 'Australian Grand Prix') AND position >= 1;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
776,superhero,False,simple,"sql_db_list_tables("""");
    table_names = (result from sql_db_list_tables """");
    if (table_names contains ""characters"") then
        sql_db_schema(""characters"");
        character_schema = (result from sql_db_schema ""characters"");
        character_fields = split(character_schema, ',');
        for field in character_fields loop
            if (field contains 'name') then
                name_field = field;
            end if;
            if (field contains 'race') then
                race_field = field;
            end if;
        end loop;
        query = ""SELECT "" + name_field + "", "" + race_field + "" FROM characters WHERE name = 'Charles Chandler'"";
        result = (result from sql_db_query query);
    end if;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
817,superhero,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
353,card_games,False,simple,"-- First, list all the tables in the database to see what we can query.
    sql_db_list_tables 'SELECT name FROM sqlite_master WHERE type='table';

    -- Next, find the table that contains the information about Magic: The Gathering sets and their cards.
    sql_db_schema 'sets';

    -- Now, query the schema of the 'sets' table to get the columns we need.
    sql_db_schema 'sets';

    -- Finally, construct a SQL query that returns the set name and total number of cards for each set in Italian translation.
    SELECT name AS ""Set Name"", COUNT(*) AS ""Total Cards"" FROM sets WHERE language='Italian' GROUP BY name;",Invalid query generated,,,
1062,european_football_2,False,moderate,"SELECT name
    FROM Players
    WHERE year BETWEEN 2008 AND 2010 AND overall_rating > 80;",Error executing query: no such table: Players,,,
1501,debit_card_specializing,False,moderate,"sql_db_list_tables
    sql_db_schema 'gas_stations, transactions'
    SELECT country FROM gas_stations JOIN transactions ON gas_stations.id = transactions.gas_station_id WHERE transactions.transaction_date = '2013-06-01';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
159,financial,False,simple,"SELECT * FROM Transactions
    WHERE Client_ID = 3356 AND Transaction_Type = 'Cash' AND Transaction_Type IS NOT NULL AND Withdrawal IS NOT NULL;",Error executing query: no such table: Transactions,,,
435,card_games,False,simple,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT card_id FROM table_name WHERE border_color = 'black';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
892,formula_1,False,moderate,"-- First, list all tables in the database
    sql_db_list_tables '');

    -- Based on the table names, find the table containing the scores and players information
    sql_db_schema '<table_name_containing_scores>';

    -- Query the schema to find the columns for points and player name
    -- Assuming the columns are named 'points' and 'player_name', construct a query to get the top scorer
    SELECT player_name, points FROM <table_name_containing_scores> ORDER BY points DESC LIMIT 1;",Invalid query generated,,,
748,superhero,False,simple,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT eye_color FROM table_name WHERE id = 75;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
192,financial,False,moderate,"sql_db_list_tables """"","Error executing query: near ""sql_db_list_tables"": syntax error",,,
678,codebase_community,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1224,thrombosis_prediction,False,simple,"# List all tables in the database
sql_db_list_tables """"

# Query the schema of the table containing the total bilirubin levels
sql_db_schema <table_name_containing_bilirubin>

# Find the highest total bilirubin level recorded and the corresponding patient details
SELECT id, sex, birthday, total_bilirubin
FROM <table_name_containing_bilirubin>
ORDER BY total_bilirubin DESC
LIMIT 1;","Error executing query: unrecognized token: ""#""",,,
1177,thrombosis_prediction,False,simple,"-- List tables in the database
SELECT name FROM sqlite_master WHERE type='table';

-- If necessary, get the schema for the relevant table(s)
-- For example:
-- SELECT * FROM sql_db_schema('patient_data');",Invalid query generated,,,
31,california_schools,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
512,card_games,False,simple,"sql_db_list_tables("""")
    sql_db_schema(<table_names_from_previous_step>)
    SELECT COUNT(*) FROM <relevant_table> WHERE power IS NULL AND name LIKE '%duel%A' AND type LIKE '%card%' AND foil = 'no';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
202,toxicology,False,simple,"sql_db_list_tables """"
    table = (sql_db_list_tables """").split("", "")
    if len(table) == 0:
        return ""No tables found in the database.""

    schema = sql_db_schema(', '.join(table))
    relevant_table = None

    for table_name, table_info in schema.items():
        if 'triple type bond' in table_info['columns']:
            relevant_table = table_name
            break

    if relevant_table is None:
        return ""No tables with triple type bond column found.""

    query = f""SELECT COUNT(*) FROM {relevant_table} WHERE bond_type='triple'""
    result = sql_db_query(query)
    print(f""{query}"")
    return result","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1226,thrombosis_prediction,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
893,formula_1,False,simple,"sql_db_list_tables('') -- List all tables in the database

    let table_names = (result from sql_db_list_tables('')) -- Store the list of tables in a variable

    sql_db_schema(table_names) -- Get schema for relevant tables

    let table_with_race_data = (result from sql_query 'SELECT * FROM table_name WHERE race_year = 2017 AND race_name = ""Chinese Grand Prix""') -- Filter the table with the correct race data

    let driver_scores = (result from sql_query 'SELECT driver, SUM(points) as total_points FROM table_with_race_data GROUP BY driver ORDER BY total_points DESC LIMIT 3') -- Get top 3 drivers and their scores

    driver_scores",Invalid query generated,,,
579,codebase_community,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
879,formula_1,False,moderate,"sql_db_list_tables("""") -- List all tables in the database

    let table = ""race_results"" -- Assuming the relevant table is race_results
    sql_db_schema(""$table"") -- Get schema of the race_results table

    let fastest_driver_id = (sql_db_query(""SELECT driver_id FROM $table ORDER BY lap_time ASC LIMIT 1"")) -- Find the id of the driver with the fastest lap time

    sql_db_query(""SELECT nationality FROM $table WHERE driver_id = '$fastest_driver_id'"") -- Get the nationality of the driver with the fastest lap time",Invalid query generated,,,
948,formula_1,False,simple,"WITH constructor_points AS (
    SELECT ConstructorName, SUM(Points) as TotalPoints
    FROM Formula1
    GROUP BY ConstructorName
    ORDER BY TotalPoints DESC
    LIMIT 1
)
SELECT * FROM constructor_points;",Error executing query: no such table: Formula1,,,
