db_id,SQL,query_toks,query_toks_no_value,question,question_toks,sql,question_id,execution_time
boat_1,SELECT count(*) FROM Boats,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Boats']","['select', 'count', '(', '*', ')', 'from', 'boats']",Find the total number of boats.,"['Find', 'the', 'total', 'number', 'of', 'boats', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",905,5.0290178441715364e-06
book_1,select title from book order by purchaseprice  desc limit 1,"['select', 'title', 'from', 'book', 'order', 'by', 'purchaseprice', 'desc', 'limit', '1']","['select', 'title', 'from', 'book', 'order', 'by', 'purchaseprice', 'desc', 'limit', 'value']",List all book titles which have highest purchase prices .,"['List', 'all', 'book', 'titles', 'which', 'have', 'highest', 'purchase', 'prices', '.']","{'from': {'table_units': [['table_unit', 3]], 'conds': []}, 'select': [False, [[0, [0, [0, 12, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['desc', [[0, [0, 14, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",569,9.036635876529746e-06
book_1,"SELECT isbn ,  count(*) FROM Books_Order GROUP BY isbn","['SELECT', 'isbn', ',', 'count', '(', '*', ')', 'FROM', 'Books_Order', 'GROUP', 'BY', 'isbn']","['select', 'isbn', ',', 'count', '(', '*', ')', 'from', 'books_order', 'group', 'by', 'isbn']","What are all isbns for each book, and how many times has each been ordered?","['What', 'are', 'all', 'isbns', 'for', 'each', 'book', ',', 'and', 'how', 'many', 'times', 'has', 'each', 'been', 'ordered', '?']","{'from': {'table_units': [['table_unit', 5]], 'conds': []}, 'select': [False, [[0, [0, [0, 18, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 18, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",536,8.929408290803585e-06
advertising_agencies,"SELECT staff_id ,  staff_details FROM staff WHERE staff_details LIKE ""%s%"" GROUP BY staff_id HAVING count(*)  >=  1","['SELECT', 'staff_id', ',', 'staff_details', 'FROM', 'staff', 'WHERE', 'staff_details', 'LIKE', '``', '%', 's', '%', ""''"", 'GROUP', 'BY', 'staff_id', 'HAVING', 'count', '(', '*', ')', '>', '=', '1']","['select', 'staff_id', ',', 'staff_details', 'from', 'staff', 'where', 'staff_details', 'like', 'value', 'group', 'by', 'staff_id', 'having', 'count', '(', '*', ')', '>', '=', 'value']",Return the ids and details of staff who have attended at least 1 meeting and have an s in their staff details?,"['Return', 'the', 'ids', 'and', 'details', 'of', 'staff', 'who', 'have', 'attended', 'at', 'least', '1', 'meeting', 'and', 'have', 'an', 's', 'in', 'their', 'staff', 'details', '?']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]], [0, [0, [0, 5, False], None]]]], 'where': [[False, 9, [0, [0, 5, False], None], '""%s%""', None]], 'groupBy': [[0, 3, False]], 'having': [[False, 5, [0, [3, 0, False], None], 1.0, None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",2142,7.537443771713761e-06
advertising_agencies,"SELECT meeting_outcome ,  count(*) FROM Meetings GROUP BY meeting_outcome","['SELECT', 'meeting_outcome', ',', 'count', '(', '*', ')', 'FROM', 'Meetings', 'GROUP', 'BY', 'meeting_outcome']","['select', 'meeting_outcome', ',', 'count', '(', '*', ')', 'from', 'meetings', 'group', 'by', 'meeting_outcome']",How many meetings had each meeting outcome?,"['How', 'many', 'meetings', 'had', 'each', 'meeting', 'outcome', '?']","{'from': {'table_units': [['table_unit', 4]], 'conds': []}, 'select': [False, [[0, [0, [0, 16, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 16, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",2124,8.52818284512996e-06
university_rank,SELECT state FROM university WHERE enrollment  <  3000 GROUP BY state HAVING count(*)  >  2,"['SELECT', 'state', 'FROM', 'university', 'WHERE', 'enrollment', '<', '3000', 'GROUP', 'BY', 'state', 'HAVING', 'count', '(', '*', ')', '>', '2']","['select', 'state', 'from', 'university', 'where', 'enrollment', '<', 'value', 'group', 'by', 'state', 'having', 'count', '(', '*', ')', '>', 'value']",which states do have more than two universities with enrollment smaller than 3000?,"['which', 'states', 'do', 'have', 'more', 'than', 'two', 'universities', 'with', 'enrollment', 'smaller', 'than', '3000', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 4, False], None]]]], 'where': [[False, 4, [0, [0, 7, False], None], 3000.0, None]], 'groupBy': [[0, 4, False]], 'having': [[False, 3, [0, [3, 0, False], None], 2.0, None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1801,7.486151357303665e-06
country_language,"SELECT T2.name ,  COUNT(*) FROM official_languages AS T1 JOIN languages AS T2 ON T1.language_id  =  T2.id GROUP BY T2.name","['SELECT', 'T2.name', ',', 'COUNT', '(', '*', ')', 'FROM', 'official_languages', 'AS', 'T1', 'JOIN', 'languages', 'AS', 'T2', 'ON', 'T1.language_id', '=', 'T2.id', 'GROUP', 'BY', 'T2.name']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'official_languages', 'as', 't1', 'join', 'languages', 'as', 't2', 'on', 't1', '.', 'language_id', '=', 't2', '.', 'id', 'group', 'by', 't2', '.', 'name']","What are the names of the different official languages, as well as the number of countries that speak each?","['What', 'are', 'the', 'names', 'of', 'the', 'different', 'official', 'languages', ',', 'as', 'well', 'as', 'the', 'number', 'of', 'countries', 'that', 'speak', 'each', '?']","{'from': {'table_units': [['table_unit', 2], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 11, False], None], [0, 1, False], None]]}, 'select': [False, [[0, [0, [0, 2, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 2, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1379,1.1133121484137996e-05
region_building,"SELECT T1.Number_of_Stories FROM building AS T1 JOIN region AS T2 ON T1.Region_ID  =  T2.Region_ID WHERE T2.Name  =  ""Abruzzo""","['SELECT', 'T1.Number_of_Stories', 'FROM', 'building', 'AS', 'T1', 'JOIN', 'region', 'AS', 'T2', 'ON', 'T1.Region_ID', '=', 'T2.Region_ID', 'WHERE', 'T2.Name', '=', '``', 'Abruzzo', ""''""]","['select', 't1', '.', 'number_of_stories', 'from', 'building', 'as', 't1', 'join', 'region', 'as', 't2', 'on', 't1', '.', 'region_id', '=', 't2', '.', 'region_id', 'where', 't2', '.', 'name', '=', 'value']","Return the number of stories for each building in the region named ""Abruzzo"".","['Return', 'the', 'number', 'of', 'stories', 'for', 'each', 'building', 'in', 'the', 'region', 'named', '``', 'Abruzzo', ""''"", '.']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 2, False], None], [0, 7, False], None]]}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 8, False], None], '""Abruzzo""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",342,6.489919009383278e-06
e_commerce,"select t1.order_id ,  t1.date_order_placed ,  sum(t3.product_price) from orders as t1 join order_items as t2 on t1.order_id  =  t2.order_id join products as t3 on t2.product_id  =  t3.product_id group by t1.order_id","['select', 't1.order_id', ',', 't1.date_order_placed', ',', 'sum', '(', 't3.product_price', ')', 'from', 'orders', 'as', 't1', 'join', 'order_items', 'as', 't2', 'on', 't1.order_id', '=', 't2.order_id', 'join', 'products', 'as', 't3', 'on', 't2.product_id', '=', 't3.product_id', 'group', 'by', 't1.order_id']","['select', 't1', '.', 'order_id', ',', 't1', '.', 'date_order_placed', ',', 'sum', '(', 't3', '.', 'product_price', ')', 'from', 'orders', 'as', 't1', 'join', 'order_items', 'as', 't2', 'on', 't1', '.', 'order_id', '=', 't2', '.', 'order_id', 'join', 'products', 'as', 't3', 'on', 't2', '.', 'product_id', '=', 't3', '.', 'product_id', 'group', 'by', 't1', '.', 'order_id']","What are the total cost of all the orders ? List the order id , date , and total cost .","['What', 'are', 'the', 'total', 'cost', 'of', 'all', 'the', 'orders', '?', 'List', 'the', 'order', 'id', ',', 'date', ',', 'and', 'total', 'cost', '.']","{'from': {'table_units': [['table_unit', 4], ['table_unit', 5], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 26, False], None], [0, 32, False], None], 'and', [False, 2, [0, [0, 31, False], None], [0, 1, False], None]]}, 'select': [False, [[0, [0, [0, 26, False], None]], [0, [0, [0, 29, False], None]], [4, [0, [0, 4, False], None]]]], 'where': [], 'groupBy': [[0, 26, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",76,1.5122818906386995e-05
cre_Students_Information_Systems,"SELECT DISTINCT T1.student_details ,  T3.address_type_description FROM Students AS T1 JOIN Students_Addresses AS T2 ON T1.student_id  =  T2.student_id JOIN Ref_Address_Types AS T3 ON T2.address_type_code  =  T3.address_type_code","['SELECT', 'DISTINCT', 'T1.student_details', ',', 'T3.address_type_description', 'FROM', 'Students', 'AS', 'T1', 'JOIN', 'Students_Addresses', 'AS', 'T2', 'ON', 'T1.student_id', '=', 'T2.student_id', 'JOIN', 'Ref_Address_Types', 'AS', 'T3', 'ON', 'T2.address_type_code', '=', 'T3.address_type_code']","['select', 'distinct', 't1', '.', 'student_details', ',', 't3', '.', 'address_type_description', 'from', 'students', 'as', 't1', 'join', 'students_addresses', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'join', 'ref_address_types', 'as', 't3', 'on', 't2', '.', 'address_type_code', '=', 't3', '.', 'address_type_code']",List the personal details and the address type descriptions of all the students.,"['List', 'the', 'personal', 'details', 'and', 'the', 'address', 'type', 'descriptions', 'of', 'all', 'the', 'students', '.']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 12], ['table_unit', 6]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 40, False], None], 'and', [False, 2, [0, [0, 39, False], None], [0, 17, False], None]]}, 'select': [True, [[0, [0, [0, 3, False], None]], [0, [0, [0, 18, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",453,1.462918207651437e-05
bbc_channels,"SELECT t1.name ,  t1.channel_id FROM channel AS t1 JOIN director_admin AS t2 ON t1.channel_id  =  t2.channel_id JOIN director AS t3 ON t2.director_id  =  t3.director_id WHERE t3.name != ""Hank Baskett""","['SELECT', 't1.name', ',', 't1.channel_id', 'FROM', 'channel', 'AS', 't1', 'JOIN', 'director_admin', 'AS', 't2', 'ON', 't1.channel_id', '=', 't2.channel_id', 'JOIN', 'director', 'AS', 't3', 'ON', 't2.director_id', '=', 't3.director_id', 'WHERE', 't3.name', '!', '=', '``', 'Hank', 'Baskett', ""''""]","['select', 't1', '.', 'name', ',', 't1', '.', 'channel_id', 'from', 'channel', 'as', 't1', 'join', 'director_admin', 'as', 't2', 'on', 't1', '.', 'channel_id', '=', 't2', '.', 'channel_id', 'join', 'director', 'as', 't3', 'on', 't2', '.', 'director_id', '=', 't3', '.', 'director_id', 'where', 't3', '.', 'name', '!', '=', 'value']",Find the id and name of the channel that is not directed by Hank Baskett.,"['Find', 'the', 'id', 'and', 'name', 'of', 'the', 'channel', 'that', 'is', 'not', 'directed', 'by', 'Hank', 'Baskett', '.']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 3], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 15, False], None], 'and', [False, 2, [0, [0, 14, False], None], [0, 6, False], None]]}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 1, False], None]]]], 'where': [[False, 7, [0, [0, 7, False], None], '""Hank Baskett""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",135,8.031546556851779e-06
planet_1,"SELECT T1.PackageNumber FROM PACKAGE AS T1 JOIN Client AS T2 ON T1.Sender  =  T2.AccountNumber WHERE T2.Name = ""Ogden Wernstrom"" INTERSECT SELECT T1.PackageNumber FROM PACKAGE AS T1 JOIN Client AS T2 ON T1.Recipient  =  T2.AccountNumber WHERE T2.Name = ""Leo Wong""","['SELECT', 'T1.PackageNumber', 'FROM', 'PACKAGE', 'AS', 'T1', 'JOIN', 'Client', 'AS', 'T2', 'ON', 'T1.Sender', '=', 'T2.AccountNumber', 'WHERE', 'T2.Name', '=', '``', 'Ogden', 'Wernstrom', ""''"", 'INTERSECT', 'SELECT', 'T1.PackageNumber', 'FROM', 'PACKAGE', 'AS', 'T1', 'JOIN', 'Client', 'AS', 'T2', 'ON', 'T1.Recipient', '=', 'T2.AccountNumber', 'WHERE', 'T2.Name', '=', '``', 'Leo', 'Wong', ""''""]","['select', 't1', '.', 'packagenumber', 'from', 'package', 'as', 't1', 'join', 'client', 'as', 't2', 'on', 't1', '.', 'sender', '=', 't2', '.', 'accountnumber', 'where', 't2', '.', 'name', '=', 'value', 'intersect', 'select', 't1', '.', 'packagenumber', 'from', 'package', 'as', 't1', 'join', 'client', 'as', 't2', 'on', 't1', '.', 'recipient', '=', 't2', '.', 'accountnumber', 'where', 't2', '.', 'name', '=', 'value']",Count the number of packages sent by Ogden Wernstrom and received by Leo Wong.,"['Count', 'the', 'number', 'of', 'packages', 'sent', 'by', 'Ogden', 'Wernstrom', 'and', 'received', 'by', 'Leo', 'Wong', '.']","{'from': {'table_units': [['table_unit', 5], ['table_unit', 4]], 'conds': [[False, 2, [0, [0, 22, False], None], [0, 16, False], None]]}, 'select': [False, [[0, [0, [0, 19, False], None]]]], 'where': [[False, 2, [0, [0, 17, False], None], '""Ogden Wernstrom""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': {'from': {'table_units': [['table_unit', 5], ['table_unit', 4]], 'conds': [[False, 2, [0, [0, 23, False], None], [0, 16, False], None]]}, 'select': [False, [[0, [0, [0, 19, False], None]]]], 'where': [[False, 2, [0, [0, 17, False], None], '""Leo Wong""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}, 'union': None, 'except': None}",1873,9.9327060690319e-06
boat_1,"SELECT bid ,  count(*) FROM Reserves GROUP BY bid HAVING bid  >  50","['SELECT', 'bid', ',', 'count', '(', '*', ')', 'FROM', 'Reserves', 'GROUP', 'BY', 'bid', 'HAVING', 'bid', '>', '50']","['select', 'bid', ',', 'count', '(', '*', ')', 'from', 'reserves', 'group', 'by', 'bid', 'having', 'bid', '>', 'value']",How many reservations exist for each boat with an id greater than 50?,"['How', 'many', 'reservations', 'exist', 'for', 'each', 'boat', 'with', 'an', 'id', 'greater', 'than', '50', '?']","{'from': {'table_units': [['table_unit', 2]], 'conds': []}, 'select': [False, [[0, [0, [0, 9, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 9, False]], 'having': [[False, 3, [0, [0, 9, False], None], 50.0, None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",896,6.356092247491081e-06
planet_1,SELECT T2.Name FROM Shipment AS T1 JOIN Planet AS T2 ON T1.Planet = T2.PlanetID GROUP BY T1.Planet ORDER BY count(*) DESC LIMIT 1;,"['SELECT', 'T2.Name', 'FROM', 'Shipment', 'AS', 'T1', 'JOIN', 'Planet', 'AS', 'T2', 'ON', 'T1.Planet', '=', 'T2.PlanetID', 'GROUP', 'BY', 'T1.Planet', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1', ';']","['select', 't2', '.', 'name', 'from', 'shipment', 'as', 't1', 'join', 'planet', 'as', 't2', 'on', 't1', '.', 'planet', '=', 't2', '.', 'planetid', 'group', 'by', 't1', '.', 'planet', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which planet has most shipments? List the planet name.,"['Which', 'planet', 'has', 'most', 'shipments', '?', 'List', 'the', 'planet', 'name', '.']","{'from': {'table_units': [['table_unit', 2], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 12, False], None], [0, 6, False], None]]}, 'select': [False, [[0, [0, [0, 7, False], None]]]], 'where': [], 'groupBy': [[0, 12, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",1903,8.330777736681729e-06
warehouse_1,SELECT T2.code FROM boxes AS T1 JOIN Warehouses AS T2 ON T1.warehouse  =  T2.code GROUP BY T2.code HAVING count(*)  >  T2.capacity,"['SELECT', 'T2.code', 'FROM', 'boxes', 'AS', 'T1', 'JOIN', 'Warehouses', 'AS', 'T2', 'ON', 'T1.warehouse', '=', 'T2.code', 'GROUP', 'BY', 'T2.code', 'HAVING', 'count', '(', '*', ')', '>', 'T2.capacity']","['select', 't2', '.', 'code', 'from', 'boxes', 'as', 't1', 'join', 'warehouses', 'as', 't2', 'on', 't1', '.', 'warehouse', '=', 't2', '.', 'code', 'group', 'by', 't2', '.', 'code', 'having', 'count', '(', '*', ')', '>', 't2', '.', 'capacity']",What are the codes of warehouses that have more boxes than their capacity?,"['What', 'are', 'the', 'codes', 'of', 'warehouses', 'that', 'have', 'more', 'boxes', 'than', 'their', 'capacity', '?']","{'from': {'table_units': [['table_unit', 1], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 7, False], None], [0, 1, False], None]]}, 'select': [False, [[0, [0, [0, 1, False], None]]]], 'where': [], 'groupBy': [[0, 1, False]], 'having': [[False, 3, [0, [3, 0, False], None], [0, 3, False], None]], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1756,7.252912966045316e-06
