input_texts,predicted_queries,databases,target_queries,correct
How many test takers are there at the school/s whose mailing city address is in Fresno?,SELECT COUNT(*) FROM schools WHERE `MailCity` = 'Fresno';,california_schools,SELECT T1.NumTstTakr FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Fresno',0
What is the free rate for students between the ages of 5 and 17 at the school run by Kacey Gibson?,SELECT [Percent (%) Eligible Free (Ages 5-17)] FROM frpm WHERE [School Name] = 'Kacey Gibson' AND [Educational Option Type] = 'School' AND [Student Age] BETWEEN 5 AND 17;,california_schools,SELECT CAST(T2.`Free Meal Count (Ages 5-17)` AS REAL) / T2.`Enrollment (Ages 5-17)` FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.AdmFName1 = 'Kacey' AND T1.AdmLName1 = 'Gibson',0
State the race and year of race in which Michael Schumacher had his fastest lap.,"SELECT races.name, races.year FROM lapTimes INNER JOIN drivers ON lapTimes.driverId = drivers.driverId INNER JOIN races ON lapTimes.raceId = races.raceId WHERE drivers.forename = 'Michael' AND drivers.surname = 'Schumacher' ORDER BY milliseconds ASC LIMIT 1;",formula_1,"SELECT T1.name, T1.year FROM races AS T1 INNER JOIN lapTimes AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T3.forename = 'Michael' AND T3.surname = 'Schumacher' ORDER BY T2.milliseconds ASC LIMIT 1",1
What is the total number of comments of all the posts owned by csgillespie?,"SELECT COUNT(comments.Id) 
        FROM comments 
        INNER JOIN posts ON posts.Id = comments.PostId 
        WHERE posts.OwnerUserId = 'csgillespie';",codebase_community,SELECT SUM(T1.CommentCount) FROM posts AS T1 INNER JOIN users AS T2 ON T1.OwnerUserId = T2.Id WHERE T2.DisplayName = 'csgillespie',0
"Give the location for ""Spring Budget Review"".","SELECT location FROM ""order"" WHERE description = 'Spring Budget Review';",financial,SELECT location FROM event WHERE event_name = 'Spring Budget Review',0
What is the label for bond ID TR001_10_11?,SELECT label FROM trans WHERE trans_id = 'TR001_10_11';,financial,SELECT T2.label FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_id = 'TR001_10_11',0
What's the magic card market name for the set which was released on 2017/6/9?,SELECT name FROM sets WHERE releaseDate = '2017-06-09',card_games,SELECT mcmName FROM sets WHERE releaseDate = '2017-06-09',1
Please list the full names of the students in the Student_Club that come from the Art and Design Department.,"SELECT member.first_name, member.last_name FROM member JOIN major ON member.link_to_major = major.major_id WHERE major.department = 'Art and Design' AND member.position = 'Student_Club' AND major.department = member.department;",student_club,"SELECT T1.first_name, T1.last_name FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T2.department = 'Art and Design Department'",0
"For in-patient age 50 and above, what is their average anti-cardiolipin antibody (IgG) concentration?","SELECT AVG(""IGG"") FROM Laboratory WHERE ID IN (SELECT ""ID"" FROM Patient WHERE ""Admission"" IS NOT NULL AND ""Birthday"" <= strftime('%Y-%m-%d', 'now', '-50 years') AND ""Admission"" <= ""First Date"") AND ""IGG"" IS NOT NULL;",thrombosis_prediction,"SELECT AVG(T2.`aCL IgG`) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50 AND T1.Admission = '+'",0
What are the elements for bond id TR001_10_11?,SELECT * FROM trans WHERE trans_id = 'TR001_10_11';,financial,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR001_10_11',0
Provide the weight and race of the superhero with superhero ID 40.,"SELECT weight_kg, race_id FROM superhero WHERE id = 40;",superhero,"SELECT T1.weight_kg, T2.race FROM superhero AS T1 INNER JOIN race AS T2 ON T1.race_id = T2.id WHERE T1.id = 40",0
"For the players who had a 77 points overall rating on 2016/6/23, who was the oldest? Give the name of the player.",SELECT Player.player_name FROM Player INNER JOIN Player_Attributes ON Player.player_api_id = Player_Attributes.player_api_id WHERE Player_Attributes.date = '2016-06-23' AND Player_Attributes.overall_rating = 77 ORDER BY Player.birthday DESC LIMIT 1;,european_football_2,"SELECT t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE SUBSTR(t2.`date`, 1, 10) = '2016-06-23' AND t2.overall_rating = 77 ORDER BY t1.birthday ASC LIMIT 1",0
What is the surname of the driver with the best lap time in race number 19 in the second qualifying period?,"SELECT d.surname FROM drivers d 
        JOIN qualifying q ON d.driverId = q.driverId 
        JOIN races r ON q.raceId = r.raceId 
        WHERE r.round = 19 AND r.year = 2 
        AND q.q2 = (SELECT MIN(q2) FROM qualifying WHERE raceId = r.raceId);",formula_1,SELECT T2.surname FROM qualifying AS T1 INNER JOIN drivers AS T2 ON T2.driverId = T1.driverId WHERE T1.raceId = 19 ORDER BY T1.q2 ASC LIMIT 1,0
What is the disease name of the patient who has the highest level of triglyceride within the normal range?,SELECT Disease_Name FROM Patient JOIN Examination ON Patient.ID = Examination.ID WHERE Examination.Thrombosis = 'normal' ORDER BY Examination.aCL IgG DESC LIMIT 1;,thrombosis_prediction,SELECT T1.Diagnosis FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG < 200 ORDER BY T2.TG DESC LIMIT 1,0
Sum up the away team goal scored by both Daan Smith and Filipe Ferreira.,"SELECT SUM(Match.away_team_goal)
        FROM Player
        LEFT JOIN Match ON Player.player_api_id = Match.away_team_api_id
        WHERE Player.player_name IN ('Daan Smith', 'Filipe Ferreira') AND Match.away_team_goal IS NOT NULL;",european_football_2,"SELECT SUM(t2.away_team_goal) FROM Player AS t1 INNER JOIN match AS t2 ON t1.player_api_id = t2.away_player_5 WHERE t1.player_name IN ('Daan Smith', 'Filipe Ferreira')",0
How many members have education major in the College of Education & Human Services?,SELECT COUNT(*) FROM schools WHERE Major = 'Education' AND College = 'College of Education & Human Services';,california_schools,SELECT COUNT(T1.member_id) FROM member AS T1 INNER JOIN major AS T2 ON T2.major_id = T1.link_to_major WHERE T1.position = 'Member' AND T2.major_name LIKE '%Education%' AND T2.college = 'College of Education & Human Services',0
Please list all the years that Silverstone Circuit was used in a Formula_1 race.,SELECT DISTINCT races.year FROM races JOIN circuits ON races.circuitId = circuits.circuitId WHERE circuits.name = 'Silverstone Circuit';,formula_1,SELECT DISTINCT T2.year FROM circuits AS T1 INNER JOIN races AS T2 ON T2.circuitID = T1.circuitId WHERE T1.name = 'Silverstone Circuit',1
Provide the users' display names and available website URLs of the post with favorite count of more than 150.,"SELECT users.DisplayName, users.WebsiteUrl 
        FROM posts
        INNER JOIN users ON posts.OwnerUserId = users.Id
        WHERE posts.FavoriteCount > 150;",codebase_community,"SELECT T1.DisplayName, T1.WebsiteUrl FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T2.FavoriteCount > 150",1
"For the client who applied 98832 USD loan in 1996/1/3, when was his/her birthday?",SELECT birth_date FROM client WHERE client_id = (SELECT client_id FROM loan WHERE date = '1996-01-03' AND amount = 98832);,financial,SELECT T4.birth_date FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T1.date = '1996-01-03' AND T1.amount = 98832,0
Identify the total number of posts with views above average.,SELECT COUNT(*) FROM trans WHERE amount > (SELECT AVG(amount) FROM trans);,financial,SELECT Id FROM posts WHERE ViewCount > ( SELECT AVG(ViewCount) FROM posts ),0
Calculate the amount budgeted for 'April Speaker' event. List all the budgeted categories for said event in an ascending order based on their amount budgeted.,"SELECT budget_category, SUM(amount) FROM budget WHERE event_status = 'April Speaker' GROUP BY budget_category ORDER BY SUM(amount) ASC;",financial,"SELECT T2.category, SUM(T2.amount) FROM event AS T1 JOIN budget AS T2 ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'April Speaker' GROUP BY T2.category ORDER BY SUM(T2.amount) ASC",0
How many races were there in 2005? Name all the races in descending order.,SELECT COUNT(*) AS total_races FROM races WHERE year = 2005;,formula_1,SELECT name FROM races WHERE year = 2005 ORDER BY name DESC,0
Find the average weight of the heroes who are aliens.,SELECT AVG(s.weight_kg) FROM superhero s JOIN race r ON s.race_id = r.id WHERE r.race = 'alien';,superhero,SELECT CAST(SUM(T1.weight_kg) AS REAL) / COUNT(T1.id) FROM superhero AS T1 INNER JOIN race AS T2 ON T1.race_id = T2.id WHERE T2.race = 'Alien',0
Find all cards illustrated by Stephen Daniel and describe the text of the ruling of these cards. State if these cards have missing or degraded properties and values.,"SELECT c.name, r.text, c.properties, c.values
        FROM cards AS c
        JOIN rulings AS r ON c.id = r.card_id
        WHERE c.artist = 'Stephen Daniel'
        AND (c.properties IS NULL
        OR c.values IS NULL
        OR c.degraded = 'true');",card_games,"SELECT T1.id, T2.text, T1.hasContentWarning FROM cards AS T1 INNER JOIN rulings AS T2 ON T1.uuid = T2.uuid WHERE T1.artist = 'Stephen Daniele'",0
Provide the ID and age of patient with lactate dehydrogenase (LDH) between 100-300 index above the normal range.,,,"SELECT DISTINCT T1.ID, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.LDH > 600 AND T2.LDH < 800",0
What percentage is Landon Donovan's overall rating higher than Jordan Bowery on 2013/7/12?,,,"SELECT (SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) * 1.0 - SUM(CASE WHEN t1.player_name = 'Jordan Bowery' THEN t2.overall_rating ELSE 0 END)) * 100 / SUM(CASE WHEN t1.player_name = 'Landon Donovan' THEN t2.overall_rating ELSE 0 END) LvsJ_percent FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_fifa_api_id = t2.player_fifa_api_id WHERE SUBSTR(t2.`date`, 1, 10) = '2013-07-12'",0
What is the attacking work rate of the football playerr Franco Zennaro?,"SELECT ""attacking_work_rate"" FROM ""Player_Attributes"" pa JOIN ""Player"" p ON pa.""player_api_id"" = p.""player_api_id"" WHERE p.""player_name"" = 'Franco Zennaro';",european_football_2,SELECT DISTINCT t2.attacking_work_rate FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t1.player_name = 'Franco Zennaro',0
What is the percentage of molecules that are carcinogenic? Please provide your answer as a percentage with three decimal places.,"SELECT ROUND((COUNT(molecule_id) * 100.0)/(SELECT COUNT(*) FROM molecule WHERE label = 'carcinogenic'), 3) AS percentage FROM molecule WHERE label = 'carcinogenic';",toxicology,"SELECT ROUND(CAST(COUNT(CASE WHEN T.label = '+' THEN T.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(T.molecule_id),3) FROM molecule t",0
How many meeting events were held in 2020?,SELECT COUNT(*) FROM trans WHERE date BETWEEN '2020-01-01' AND '2020-12-31' AND type = 'Meeting';,financial,"SELECT COUNT(event_id) FROM event WHERE type = 'Meeting' AND SUBSTR(event_date, 1, 4) = '2020'",0
Please list all the superpowers of 3-D Man.,"SELECT hero_power.power_id
FROM superhero
JOIN hero_power ON superhero.id = hero_power.hero_id
WHERE superhero.superhero_name = '3-D Man';",superhero,SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = '3-D Man',0
Which client ID consumed the most in September 2013?,"SELECT trans.account_id AS client_id, SUM(trans.amount) AS total_amount FROM trans WHERE trans.type = 'credit' AND trans.date BETWEEN '2013-09-01' AND '2013-09-30' GROUP BY trans.account_id ORDER BY total_amount DESC LIMIT 1;",financial,SELECT T1.CustomerID FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date = '201309' GROUP BY T1.CustomerID ORDER BY SUM(T2.Consumption) DESC LIMIT 1,0
What is the average heights of Italy players?,SELECT AVG(height) FROM Player JOIN Player_Attributes ON Player.player_api_id = Player_Attributes.player_api_id WHERE Player.country = 'Italy';,european_football_2,SELECT CAST(SUM(T1.height) AS REAL) / COUNT(T1.id) FROM Player AS T1 INNER JOIN Match AS T2 ON T1.id = T2.id INNER JOIN Country AS T3 ON T2.country_id = T3.ID WHERE T3.NAME = 'Italy',0
Who are the players that tend to be attacking when their mates were doing attack moves? List down their name.,SELECT Player.player_name FROM Player JOIN Match ON Player.id = Match.away_player WHERE Player.player_position = 'attacking' AND Match.action = 'attack',european_football_2,SELECT DISTINCT t1.player_name FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t2.attacking_work_rate = 'high',0
"How long did it take the user, known by his or her display name 'Zolomon' to get the badge? Count from the date the user's account was created.",SELECT (julianday(badges.Date) - julianday(users.CreationDate)) AS days_passed FROM badges INNER JOIN users ON users.Id = badges.UserId WHERE users.DisplayName = 'Zolomon' AND badges.Name = 'BadgeName' AND users.CreationDate IS NOT NULL;,codebase_community,SELECT T1.Date - T2.CreationDate FROM badges AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T2.DisplayName = 'Zolomon',0
What is the major of Garrett Gerke and which department does it belong to?,"SELECT major_name FROM member, major WHERE first_name = 'Garrett' AND last_name = 'Gerke' AND link_to_major = major_id;",student_club,"SELECT T2.major_name, T2.department FROM member AS T1 INNER JOIN major AS T2 ON T2.major_id = T1.link_to_major WHERE T1.first_name = 'Garrett' AND T1.last_name = 'Gerke'",0
Please list the names of the cards that have a text box.,SELECT name FROM cards WHERE text <> '';,card_games,SELECT DISTINCT name FROM cards WHERE isTextless = 0,0
Please list the surnames of all the Italian drivers.,SELECT DISTINCT driver_surname FROM drivers WHERE driver_nationality = 'Italian';,formula_1,SELECT surname FROM drivers WHERE nationality = 'Italian',0
"Between 1/1/2000 to 12/31/2005, how many directly funded schools opened in the county of Stanislaus?",SELECT COUNT(*) from schools WHERE County = 'Stanislaus' AND FundingType = 'Direct' AND OpenDate >= '2000-01-01' AND OpenDate <= '2005-12-31';,california_schools,"SELECT COUNT(School) FROM schools WHERE strftime('%Y', OpenDate) BETWEEN '2000' AND '2005' AND County = 'Stanislaus' AND FundingType = 'Directly funded'",0
"Mention the base set size and set code of the set that was in block named ""Masques"" and ""Mirage"".","SELECT baseSetSize, code FROM sets WHERE block IN ('Masques', 'Mirage') GROUP BY baseSetSize, code HAVING COUNT(DISTINCT block) = 2;",card_games,"SELECT DISTINCT T1.baseSetSize, T2.setCode FROM sets AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.code WHERE T1.block IN ('Masques', 'Mirage')",0
What languages are available in the set known as Archenemy on the magic card market and having the code ARC?,SELECT language FROM sets WHERE name = 'Archenemy' AND totalSetSize = 'ARC';,card_games,SELECT T2.language FROM sets AS T1 INNER JOIN set_translations AS T2 ON T1.code = T2.setCode WHERE T1.mcmName = 'Archenemy' AND T2.setCode = 'ARC',0
List the football players with a birthyear of 1970 and a birthmonth of October.,"SELECT player_name FROM Player WHERE strftime('%Y', birthday) = '1970' AND strftime('%m', birthday) = '10';",european_football_2,"SELECT player_name FROM Player WHERE SUBSTR(birthday, 1, 7) = '1970-10'",1
"From which post is the tag ""bayesian"" excerpted from? Please give the body of the post.","SELECT DISTINCT Post, Body FROM Posts WHERE Tags LIKE '%bayesian%';",thrombosis_prediction,SELECT T2.Body FROM tags AS T1 INNER JOIN posts AS T2 ON T2.Id = T1.ExcerptPostId WHERE T1.TagName = 'bayesian',0
What is the total expense for the Yearly Kickoff?,SELECT SUM(amount) FROM `order` WHERE k_symbol = 'Yearly Kickoff';,financial,SELECT SUM(T3.cost) FROM event AS T1 INNER JOIN budget AS T2 ON T1.event_id = T2.link_to_event INNER JOIN expense AS T3 ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'Yearly Kickoff',0
Who was the champion of 2008's Australian Grand Prix and where can I know more about him?,"SELECT drivers.forename, drivers.surname, drivers.url FROM drivers
        INNER JOIN driverStandings ON driverStandings.driverId = drivers.driverId
        INNER JOIN races ON races.raceId = driverStandings.raceId
        WHERE races.name = 'Australian Grand Prix' AND races.year = 2008 AND driverStandings.position = 1;",formula_1,"SELECT T1.forename, T1.surname, T1.url FROM drivers AS T1 INNER JOIN results AS T2 ON T1.driverId = T2.driverId INNER JOIN races AS T3 ON T3.raceId = T2.raceId WHERE T3.name = 'Australian Grand Prix' AND T2.time LIKE '_:%:__.___' AND T3.year = 2008",1
State the date Connor Hilton paid his/her dues.,SELECT date FROM trans WHERE client_id = (SELECT client_id FROM client WHERE client_name = 'Connor Hilton') AND k_symbol = 'dues';,financial,SELECT T2.date_received FROM member AS T1 INNER JOIN income AS T2 ON T1.member_id = T2.link_to_member WHERE T1.first_name = 'Connor' AND T1.last_name = 'Hilton' AND T2.source = 'Dues',0
"Which of these artists have designed a card in the set Coldsnap, Jeremy Jarvis, Aaron Miller or Chippy?","SELECT DISTINCT ""cards"".""artist"" FROM cards INNER JOIN sets ON cards.setCode = sets.code WHERE ""sets"".""name"" = 'Coldsnap' AND ""cards"".""artist"" IN ('Jeremy Jarvis', 'Aaron Miller', 'Chippy');",card_games,SELECT T1.artist FROM cards AS T1 INNER JOIN sets AS T2 ON T2.code = T1.setCode WHERE (T2.name = 'Coldsnap' AND T1.artist = 'Chippy') OR (T2.name = 'Coldsnap' AND T1.artist = 'Aaron Miller') OR (T2.name = 'Coldsnap' AND T1.artist = 'Jeremy Jarvis') GROUP BY T1.artist,0
"What is the up vote number of the user that commented ""R is also lazy evaluated.""?",SELECT users.UpVotes FROM comments JOIN users ON comments.UserId = users.Id WHERE comments.Text = 'R is also lazy evaluated.';,codebase_community,SELECT T2.UpVotes FROM comments AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T1.Text = 'R is also lazy evaluated.',1
